src.ui.desktop.monitor_worker | INFO | Manutenção: novos books + prioridades em 0.37s
src.ui.desktop.monitor_worker | INFO | Ciclo: monitor=0.191s colar=0.000s cal=0.000s box=0.000s manut=0.379s mpp=0.000s total=0.570s
src.infrastructure.providers.mercado_data_provider | INFO | Varredura: 43487 monitored, 2504 with book | registro=0.000s refresh=0.007s scan=0.139s total=0.146s
src.infrastructure.providers.mercado_data_provider | INFO | Varredura: 43487 monitored, 2504 with book | registro=0.000s refresh=0.000s scan=0.130s total=0.130s
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCT792 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRU300 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRT106 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRT76 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRU645 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRR855 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRR101 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRU100 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRR830 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRS130 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRR135 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRT136 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRU790 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRR850 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCS892 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCT752 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCS872 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRR103 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para XPBRR760 (Liquidez detectada)
